ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;age;duree_ss_emploi;etudes_sup;bac_plusdeux;bac;cap_brevet;pas_diplome;nbmois_cho;ass;sexe;moins_30
13004491;01;436.58350048;0;498.545;2;444444444411;28;0;0;0;0;1;0;10;;0;1
13004495;01;825.57595813;0;756.5;8;114331111114;24;1;0;0;1;0;0;2;;1;1
13004518;01;1230.2896691;0;434.97;2;114444444444;44;4;0;0;0;1;0;10;1;1;0
13004543;01;808.64838378;0;1474.6666667;1.3124555471;444444444444;50;2;0;0;1;0;0;12;0;1;0
13004548;01;610.61195795;0;3718.5;3.8061702975;111111111144;47;0;0;0;0;1;0;2;;0;0
13004562;01;239.9573576;1;497.15909091;0;944444444444;48;6;0;0;1;0;0;11;;1;0
13004570;01;657.37382092;0;595.205;2;114444444444;44;2;0;0;0;1;0;10;;0;0
13004591;02;195.7656223;1;321.93888889;5.6571656751;114144111444;56;3;0;0;0;0;1;6;;1;0
13004593;01;557.53828827;0;496.00416667;0;444444444444;60;0;0;0;0;0;1;12;;1;0
13004662;01;446.52394315;1;521.4125;0;444488888888;46;11;0;0;0;1;0;4;;1;0
13004682;01;1190.6776335;0;1602;5;111114444444;36;0;0;0;1;0;0;7;;0;0
13004686;02;366.04078212;1;1205;7.9470733521;111111144441;36;1;0;0;0;0;1;4;;1;0
13004710;01;912.94035248;0;489.22222222;1.8317539033;944444114444;35;2;0;0;0;0;1;9;;0;0
13004732;01;446.76035134;1;997.91666667;0;444444444444;44;2;0;0;0;1;0;12;0;1;0
13004769;02;832.25305082;1;496.00416667;0;444444444444;36;5;1;0;0;0;0;12;;0;0
13004796;01;414.56578099;1;450.215;1.6336799034;444444444411;36;6;0;0;0;1;0;10;;1;0
13004802;01;386.42043526;1;483.3;0;888999444444;52;3;0;0;0;1;0;6;;1;0
13004821;02;523.18998149;1;505.07857143;0;444444488888;63;5;0;0;0;0;1;7;;0;0
13004868;02;997.80716278;1;496.00416667;0;444444444444;35;4;0;0;1;0;0;12;;1;0
13004875;02;698.19758444;1;741.83333333;6;444114414111;29;3;0;0;0;1;0;6;0;1;1
13004976;01;676.06519393;1;496.00416667;0;444444444444;51;0;0;0;0;0;1;12;;0;0
13005086;01;580.34651989;0;5215.2222222;3;111444444444;55;3;0;1;0;0;0;9;;1;0
13005086;02;580.34651989;0;1768.1111111;2.1694639218;111444444444;56;3;0;0;1;0;0;9;;0;0
13005121;01;659.46866155;1;2449.5;0.0266969304;333111444444;39;2;0;0;0;1;0;6;0;1;0
13005159;03;982.00729784;0;479.57142857;3.4482099807;444444411111;26;1;0;0;0;0;1;7;0;1;1
13005183;01;697.80369334;0;1371;2;224444444911;48;1;1;0;0;0;0;7;;0;0
13005208;02;727.20545687;1;497.15909091;1;444444444441;42;0;0;0;0;1;0;11;;1;0
13005282;09;477.52625255;0;377.23888889;2.7980105463;441114444444;51;2;0;0;0;1;0;9;1;1;0
13005282;10;477.52625255;0;496.00416667;0;444444444444;46;2;0;0;0;0;1;12;1;0;0
13005327;01;635.90555823;0;711.16666667;5.9852795619;444444111111;27;0;0;1;0;0;0;6;;0;1
13005340;01;574.10623371;1;375.9;1;144444444499;48;4;0;0;0;0;1;9;1;1;0
13005344;01;590.55730814;0;444.50416667;0.5218819301;444444444444;47;7;0;0;0;0;1;12;;0;0
13005350;02;262.82476888;1;983.5;1.0902681907;444444444444;52;2;0;0;0;0;1;12;0;1;0
13005355;01;470.49638031;0;398.7;2;441144444444;58;1;0;0;0;1;0;10;0;1;0
13005367;01;599.01641336;0;436.03571429;5;444444411111;54;1;1;0;0;0;0;7;;1;0
13005439;01;635.1084654;0;834.14285714;5;414441111444;44;0;1;0;0;0;0;7;0;0;0
13005446;01;707.1688632;0;497.15909091;0;444444444448;36;4;1;0;0;0;0;11;;1;0
13005455;01;688.93310009;0;213.75416667;2.8359029636;444444444444;36;4;0;0;0;0;1;12;;0;0
13005473;01;759.27240691;0;496.00416667;0;444444444444;55;0;0;0;0;1;0;12;;1;0
13005481;01;853.73781664;0;446.33333333;5.6815004808;111114444414;43;3;0;0;0;0;1;6;;0;0
13005491;01;533.86955329;1;996.85714286;5;114141144444;34;0;0;0;1;0;0;7;;1;0
13005506;01;480.50752246;0;486.67083333;0.0938698521;444444444444;43;2;0;0;0;0;1;12;;0;0
13005537;01;615.3643161;0;484.88636364;0.1136772521;444444444441;39;2;0;1;0;0;0;11;;0;0
13005567;01;601.1036664;0;496.00416667;0;444444444444;45;2;0;0;0;1;0;12;;1;0
13005625;01;554.96275955;0;355.83148148;3;444441114444;59;3;0;0;0;1;0;9;;1;0
13005642;01;917.97235829;0;1607.8181818;0.6114458257;144444444444;33;3;0;1;0;0;0;11;0;0;0
13005642;02;917.97235829;0;718.33333333;6;111444444111;36;1;0;1;0;0;0;6;0;1;0
13005744;01;454.05962358;1;1530;7.9569155384;111111111144;37;4;0;0;0;0;1;2;0;0;0
13005749;01;665.91076408;0;1029.1111111;3;444444444111;47;1;0;1;0;0;0;9;;0;0
13005773;02;1271.6935935;0;1397.6666667;9;111111111444;28;0;0;0;0;1;0;3;;1;1
13005791;01;518.96821687;0;2840.5;9.7710765337;111111111144;39;0;0;0;0;1;0;2;;0;0
13005823;05;581.58070357;0;3017;11;111111111114;21;0;0;0;0;1;0;1;;1;1
13005870;01;828.84913314;0;991.83333333;0;444444444444;53;2;0;0;1;0;0;12;;0;0
13005873;01;525.40163942;0;496.00416667;0;444444444444;60;8;0;0;0;0;1;12;;1;0
13005893;01;1452.0786681;0;1943.25;3;444411122222;46;1;0;0;0;1;0;4;;0;0
13005894;01;681.82238582;0;483.3;0;222222224444;60;4;0;0;0;1;0;4;;1;0
13005920;01;297.22153032;1;483.3;0;999999444444;57;5;0;0;0;0;1;6;;1;0
13005984;02;729.40768313;1;500.23888889;0;444444444999;40;3;0;0;0;0;1;9;;1;0
13006024;01;319.2404399;0;819.375;0;744444444777;40;2;1;0;0;0;0;8;;0;0
13006059;02;1505.2450945;1;1034.8333333;0;444444444444;44;2;0;0;0;0;1;12;;0;0
13006062;01;684.99549832;0;1099.6666667;4.1460209915;111111111444;39;0;0;0;0;1;0;3;;0;0
13006117;01;457.58110639;0;635.22222222;3;414444144441;34;2;0;0;1;0;0;9;;1;0
13006212;01;812.07220636;0;784;1;144444333333;25;1;1;0;0;0;0;5;;1;1
13006212;02;812.07220636;0;980.9;0.1464025217;114444444444;24;2;0;0;1;0;0;10;;0;1
13006226;01;906.37248008;0;395.42727273;1;144444444444;31;3;0;0;1;0;0;11;;0;0
13006242;01;637.30829402;0;938;3;141177777744;35;2;0;0;1;0;0;3;0;1;0
13006274;01;716.98243512;0;1008.0833333;1.7525243034;444444444444;48;2;0;0;0;0;1;12;;1;0
13006290;04;516.11818631;0;440.17083333;0.564080304;444444444444;39;2;0;0;0;1;0;12;;1;0
13006294;02;223.54598659;1;994.66666667;1.8877313381;444444444444;46;2;0;0;0;1;0;12;0;1;0
13006316;01;521.39902328;0;435.205;1.3374300949;144144444444;49;1;0;0;0;1;0;10;1;1;0
13006332;01;476.47824908;0;508.70833333;6;444444111111;48;1;0;0;0;0;1;6;;1;0
13006332;02;476.47824908;0;496.00416667;0;444444444444;47;3;0;0;0;0;1;12;;0;0
