ALCT;ident;noi;wpela16;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
1;14001352;01;1081.0756109;0;589.90909091;1;144444444444;2014;2015;30;2;1;11;0;1;0
;14001358;02;579.95332271;1;336.55555556;1;444144444466;2014;2015;28;3;1;9;;0;1
;14001375;01;857.2268117;0;845.16666667;5.8452991453;444444111111;2014;2015;43;1;0;6;;1;0
;14001389;02;577.59415252;1;1930;8.655042735;114111111111;2014;2015;41;1;0;1;;0;0
1;14001390;01;285.26733475;1;1569.5;0;444444444444;2014;2015;57;3;0;12;0;0;0
;14001393;01;542.50469718;0;3274.25;8;141144411111;2014;2015;59;1;0;4;;0;0
;14001401;02;558.18922308;1;534.5;0.2316239316;444444444444;2014;2015;53;2;1;12;;1;0
;14001419;02;432.51836875;1;1592.6666667;5.8333333333;441111111114;2014;2015;59;1;0;3;;0;0
2;14001427;01;709.00426038;1;715.1;0.9726495726;444444441144;2014;2015;40;1;0;10;1;0;0
;14001428;01;433.11459313;0;791.5;8;441111111144;2014;2015;61;2;0;4;;0;0
1;14001430;02;499.86133477;1;1113.3636364;0;544444444444;2014;2015;61;7;0;11;0;0;0
;14001443;02;794.58001733;1;559.25;8;444411111111;2014;2015;43;1;0;4;;0;0
1;14001451;02;550.15081557;1;1029.2222222;0;444444444777;2014;2015;32;2;0;9;0;0;0
1;14001453;03;397.57095279;1;1492.4545455;0.0487179487;144444444444;2014;2015;60;2;1;11;0;1;0
1;14001454;01;530.60268609;1;2724.6666667;0.888034188;222222222444;2014;2015;26;2;0;3;0;0;1
;14001481;02;425.38225371;1;772;8;444411111111;2014;2015;32;1;0;4;;0;0
;14001482;01;745.36549135;1;1504.5;7.7752136752;444411111111;2014;2015;45;3;0;4;;0;0
;14001486;01;1810.2951781;1;1256;11;411111111111;2014;2015;48;1;0;1;;1;0
;14001496;01;352.24196785;0;497.25;3.0658119658;229944444444;2014;2015;51;1;1;8;;1;0
;14001507;02;433.34634778;1;738;9;111111111444;2014;2015;49;2;0;3;;1;0
;14001511;02;712.06026558;1;705.75;7.6803418803;444411111111;2014;2015;52;1;0;4;;0;0
1;14001512;01;595.43755005;1;1313.8;7;141411111444;2014;2015;48;1;1;5;0;1;0
;14001515;02;1256.7245313;1;922.77777778;1.5389499389;144444444114;2014;2015;33;1;0;9;;1;0
;14001524;01;465.30327763;0;1110.9166667;0.0726495726;444444444444;2014;2015;61;2;0;12;;0;0
1;14001528;01;552.09084913;0;586;5.6234432234;411111111111;2014;2015;51;1;0;1;0;0;0
1;14001532;01;921.29724154;0;518.18181818;1;144444444444;2014;2015;28;1;0;11;0;1;1
;14001532;02;921.29724154;0;886.6;7;111444111144;2014;2015;31;1;0;5;;0;0
;14001536;02;1131.8987987;0;2035.9166667;0;444444444444;2014;2015;48;1;0;12;;1;0
;14001539;01;468.44282525;0;735;11;411111111111;2014;2015;35;1;0;1;;1;0
;14001550;02;832.53907436;1;1097.6666667;9;444111111111;2014;2015;25;1;0;3;;1;1
;14001553;01;746.85592763;1;505.42857143;2.1427350427;994444444111;2014;2015;40;2;0;7;;0;0
1;14001611;02;349.0781323;1;912;1;444444414444;2014;2015;28;1;0;11;0;1;1
;14001612;02;259.34927963;1;900;5.9625885226;111144111111;2014;2015;42;1;1;2;;0;0
;14001621;01;546.96461675;0;455;1;144444444444;2014;2015;57;14;0;11;;0;0
;14001626;02;335.93379243;1;915.08333333;0;444444444444;2014;2015;54;4;1;12;;0;0
2;14001629;01;719.28817157;0;619;1.905982906;444114414444;2014;2015;30;1;0;9;1;1;0
;14001633;01;735.77568268;1;3544;10.431452991;411111111111;2014;2015;56;1;0;1;;0;0
;14001634;01;456.51346431;1;1234;8.941025641;111111111444;2014;2015;41;1;0;3;;1;0
;14001635;01;458.01860378;0;9.3333333333;0;444444444444;2014;2015;46;3;0;12;;0;0
;14001637;02;746.67756845;1;32.4;0.3452991453;944444444447;2014;2015;29;2;1;10;;0;1
;14001645;01;816.8070389;0;921.75;0;444444444444;2014;2015;30;3;0;12;;0;0
;14001694;01;576.15127025;0;395;8.7017094017;411111111111;2014;2015;36;1;0;1;;1;0
;14001696;01;1578.6838778;0;1424.6666667;5.8205128205;431111114411;2014;2015;31;1;0;3;;1;0
;14001700;02;965.04484155;1;714.33333333;1.4212454212;114444144444;2014;2015;38;1;0;9;;0;0
;14001701;02;576.68790084;1;1689;0;888888444444;2014;2015;58;4;0;6;;1;0
;14001704;01;516.19720203;1;745;10;111111111144;2014;2015;44;2;0;2;;0;0
;14001705;01;738.72945422;0;1716;8;111111114444;2014;2015;40;3;1;4;;1;0
;14001711;01;499.7570283;1;898.5;0.6256410256;444444444444;2014;2015;37;2;0;12;;1;0
;14001724;01;494.37105424;1;1056;11;411111111111;2014;2015;28;1;0;1;;1;1
;14001734;01;666.66383089;0;2893.25;6.8705738706;111144441111;2014;2015;47;1;0;4;;1;0
1;14001767;01;760.66753136;1;1048.2;2;411444444444;2014;2015;38;3;0;10;0;1;0
;14001769;01;580.76410521;1;2060;9;411111111144;2014;2015;23;3;0;3;;1;1
;14001771;02;375.68498896;1;1165.5714286;3.4914529915;144444441111;2014;2015;39;2;0;7;;0;0
;14001786;01;726.5492618;0;660;10;111144111111;2014;2015;35;1;0;2;;0;0
1;14001792;02;531.89608903;1;351.2;6.9726495726;444111111144;2014;2015;24;1;0;5;0;0;1
;14001798;01;805.6626303;0;837.44444444;3;444444444111;2014;2015;37;1;1;9;;1;0
;14001804;01;389.53500795;0;2400;4;114114333333;2014;2015;29;4;0;2;;0;1
;14001809;01;521.03886526;0;697;3.9946275946;441111111111;2014;2015;47;3;0;2;;0;0
;14001826;01;791.36759119;1;1334.6666667;9;141111111144;2014;2015;52;1;0;3;;0;0
1;14001827;01;421.88702732;0;2211.5833333;0;444444444444;2014;2015;40;2;0;12;0;1;0
1;14001827;02;421.88702732;0;1007.6666667;0.3692307692;444444444444;2014;2015;44;2;0;12;0;0;0
;14001834;01;667.28391391;1;1053;11;411111111111;2014;2015;26;3;0;1;;1;1
;14001876;01;536.95593226;0;213.25;1.7242490842;111444434444;2014;2015;36;2;0;8;;0;0
;14001879;02;1038.4502897;1;3420;5.4076923077;111444444111;2014;2015;47;1;0;6;;0;0
;14001880;01;724.63671136;1;227.75;1.8339438339;144411144444;2014;2015;55;2;1;8;;1;0
;14001895;02;564.34005186;1;1137.6;5.558974359;444441111111;2014;2015;52;3;0;5;;0;0
1;14001899;01;546.30567788;0;520.90909091;0;944444444444;2014;2015;60;6;0;11;0;1;0
;14001905;01;742.93529566;0;296.2;0;444444444433;2014;2015;28;2;0;10;;0;1
1;14001911;02;780.2601677;1;778.5;0;444444444444;2014;2015;56;2;0;12;0;0;0
1;14001925;01;890.62610485;1;521.63636364;0.5452991453;444444444414;2014;2015;31;3;0;11;0;1;0
;14001941;01;705.43474772;1;669.83333333;3.1726495726;444444444444;2014;2015;39;3;0;12;;0;0
;14001944;01;732.59169139;1;671;7.2743589744;444411111111;2014;2015;51;1;0;4;;0;0
;14001946;02;509.89570082;1;668.7;2;444444444411;2014;2015;58;1;1;10;;0;0
;14001964;02;499.94538139;1;1082.5;0;444444444444;2014;2015;43;2;0;12;;1;0
;14001972;02;748.56259692;1;1147.8571429;4.8709401709;444444466666;2014;2015;40;1;0;7;;0;0
;14001973;02;808.28736314;1;2002;11;411111111111;2014;2015;34;1;0;1;;0;0
