ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
13002459;02;459.34594229;0;1482;4.7198204545;111111111114;2013;2015;55;0;0;1;;0;0
13002464;01;751.0610532;0;899.66666667;0.5614967301;444444444444;2013;2015;50;2;1;12;0;1;0
13002504;01;528.20398073;0;1335;0;444444444444;2013;2015;45;3;0;12;0;0;0
13002526;01;999.99922764;1;608.045;2;444444441144;2013;2015;30;2;0;10;1;1;0
13002527;01;838.23985216;1;667.5;0;444444444444;2013;2015;34;2;0;12;;0;0
13002562;02;387.72441695;1;519.40833333;0;488899944444;2013;2015;54;4;1;6;;1;0
13002571;01;660.50323318;0;1389.4444444;0.1019650504;221444444444;2013;2015;44;2;0;9;;0;0
13002574;02;557.9643907;1;370.5;4;111444441444;2013;2015;57;0;1;8;;0;0
13002585;01;463.53989897;0;80;1.3149160937;111111114444;2013;2015;39;0;1;4;0;0;0
13002591;01;216.65929849;0;494;0;888884444444;2013;2015;59;3;1;7;;1;0
13002593;03;592.91871638;0;3052.5;4;111144444444;2013;2015;52;0;0;8;;0;0
13002597;01;815.29199465;0;1891;5;899911111444;2013;2015;28;1;0;3;;1;1
13002622;01;684.41974846;0;506.70416667;0;444444444444;2013;2015;47;2;0;12;;0;0
13002659;01;1608.6756524;1;436.04090909;1;144444444444;2013;2015;51;0;0;11;;1;0
13002679;01;652.60090444;1;845.33333333;3;444444444111;2013;2015;35;0;0;9;;1;0
13002706;01;791.72578554;0;506.70416667;0;444444444444;2013;2015;43;4;0;12;;1;0
13002711;02;427.96804754;1;723.4;6.7405443354;444111111144;2013;2015;55;1;1;5;;0;0
13002721;01;638.18576844;0;1843.9166667;0;444444444444;2013;2015;61;2;1;12;0;1;0
13002721;02;638.18576844;0;926.25;0;444444444444;2013;2015;60;0;0;12;;0;0
13002723;02;1155.3840319;1;333;7;444111111144;2013;2015;23;1;0;5;;1;1
13002735;01;579.17299862;1;1485.4166667;0;444444444444;2013;2015;57;2;0;12;;1;0
13002736;02;526.5542815;1;884.55555556;3;144444444411;2013;2015;24;1;0;9;0;0;1
13002774;02;1470.828931;0;142.33022007;1.783404163;111144444111;2013;2015;46;0;0;5;;0;0
13002901;01;361.48072095;0;1313.875;3.6058079893;144441114444;2013;2015;45;2;1;8;;0;0
13002902;01;3263.0368169;1;40;1.3305405645;444411144441;2013;2015;29;1;0;8;;0;1
13002912;03;1048.5780088;1;544.81666667;0;444777777777;2013;2015;62;4;1;3;;0;0
13002953;01;458.93135591;0;2160.875;1;422244444414;2013;2015;42;0;0;8;;0;0
13002983;01;1239.5603603;0;1100.1666667;6;111111444444;2013;2015;21;2;0;6;;1;1
13002987;01;794.71072326;0;494;0;999944444444;2013;2015;41;2;1;8;;0;0
13003002;01;557.42235261;0;1235.625;4;411444411444;2013;2015;32;1;1;8;0;1;0
13003026;02;1429.4017046;1;1436.5833333;0;444444444444;2013;2015;29;3;0;12;;1;1
13003056;01;442.814327;0;1095.5714286;3.7229300066;444444411111;2013;2015;37;1;0;7;;0;0
13003057;01;833.48330575;0;494;0;888888844444;2013;2015;50;7;0;5;1;1;0
13003065;01;594.3858961;1;473.13181818;0.7268454605;444144444444;2013;2015;40;1;0;11;;1;0
13003072;03;1073.740809;0;1055.5;8;111111144441;2013;2015;26;0;0;4;;0;1
13003077;05;487.28718286;0;505.33333333;3.5102157546;111444444111;2013;2015;27;1;0;6;;0;1
13003079;02;362.68099486;0;825.2;7;411111444114;2013;2015;27;0;0;5;;0;1
13003106;01;869.54499771;0;506.70416667;0;444444444444;2013;2015;45;0;0;12;;0;0
13003126;01;384.37782181;0;1022;8;111141111444;2013;2015;45;5;0;4;;0;0
13003175;01;596.32236091;0;479.5;2.3889446769;911144444444;2013;2015;21;1;1;8;;1;1
13003198;01;865.75848844;1;346.27222222;3;444444444111;2013;2015;59;0;1;9;;1;0
13003212;01;544.79223408;0;1951.6666667;7;111111144433;2013;2015;45;3;0;3;;1;0
13003224;01;766.92886704;0;747.66666667;4.299706731;111111111444;2013;2015;27;0;0;3;;1;1
13003297;01;397.49340708;1;653.125;4;414444111444;2013;2015;37;1;1;8;;0;0
13003317;01;577.70701839;0;914.4;2;144414444444;2013;2015;46;1;0;10;0;1;0
13003422;01;1017.401503;0;506.70416667;0;444444444444;2013;2015;48;3;1;12;;0;0
13003423;01;526.11249079;0;625.8;2.9978069288;111411411444;2013;2015;53;1;1;5;;0;0
13003506;01;1026.8896456;0;1245.75;4;444444441111;2013;2015;25;0;0;8;;1;1
13003541;03;704.24580045;0;309.66666667;1;944444444471;2013;2015;43;1;1;9;0;0;0
13003558;01;687.10888523;0;506.70416667;0;444444444444;2013;2015;31;6;1;12;;0;0
13003609;01;1084.2847371;0;476.04090909;0.7087604431;444441444444;2013;2015;27;2;0;11;;0;1
13003625;01;410.56437524;1;362.77777778;2.573239616;444444444111;2013;2015;24;1;0;9;;0;1
13003641;01;1092.5422872;0;780;8.232988865;111111111114;2013;2015;29;0;0;1;;0;1
13003655;01;842.68716146;0;506.70416667;0;444444444444;2013;2015;46;2;1;12;;1;0
13003664;01;600.10320146;0;386.62083333;1.2048066341;444444444444;2013;2015;20;13;0;12;;0;1
13003706;01;454.01925274;1;421.7875;0.8663584517;444444444444;2013;2015;50;5;1;12;;0;0
13003711;01;502.61007215;1;506.70416667;0;444444444444;2013;2015;58;3;0;12;;0;0
13003852;01;590.40202981;0;233.12083333;2.7756195724;444444444444;2013;2015;51;3;0;12;;1;0
13003858;01;764.3088151;0;31.857142857;5;444441114411;2013;2015;34;1;0;7;;0;0
13003879;01;719.95638761;0;311;5;111114444444;2013;2015;35;3;0;7;;0;0
13003897;02;691.71016938;1;506.70416667;0;444444444444;2013;2015;49;2;0;12;;1;0
13003910;01;549.19846305;0;2190.8333333;3.0133083722;444444444444;2013;2015;59;2;0;12;;0;0
13004003;02;924.30481383;0;822.25;4;114444444411;2013;2015;48;1;0;8;0;0;0
13004018;01;1380.09554;1;346.27222222;3;444444444111;2013;2015;27;7;1;9;;1;1
13004056;01;778.20509935;0;490.87083333;0.1584591999;444444444444;2013;2015;32;13;0;12;;0;0
13004061;02;754.29063607;0;5278.5555556;3;444444444111;2013;2015;47;0;0;9;;1;0
13004066;01;415.4523677;0;1378.75;3.2794164851;444444444444;2013;2015;47;2;1;12;0;1;0
13004066;02;415.4523677;0;536.8;7;111111444441;2013;2015;49;2;0;5;;0;0
13004099;01;647.04080351;0;984.5;6.6156715963;444111111114;2013;2015;38;2;0;4;0;0;0
13004142;01;861.2554413;0;476.83333333;0;444444444444;2013;2015;57;2;0;12;0;0;0
13004185;01;682.51980709;0;1102.6666667;7.7885157303;111111111444;2013;2015;42;0;0;3;;0;0
13004237;01;451.67978217;1;410.445;2;444444444411;2013;2015;60;1;0;10;;1;0
13004289;02;444.17820238;1;755.5;5.5598510578;441111114444;2013;2015;25;0;0;6;;1;1
13004340;01;211.17539195;0;1357.1818182;1;444444444441;2013;2015;61;1;0;11;0;1;0
13004409;01;1282.6127093;0;494;1;122222244444;2013;2015;60;2;0;5;;1;0
13004441;01;1260.9343023;1;515.77857143;0;444444422222;2013;2015;47;2;1;7;;1;0
13004491;01;436.59453634;0;305.9;2;444444444411;2013;2015;28;0;0;10;;0;1
13004495;01;825.64394786;0;756.5;8;114331111114;2013;2015;24;1;0;2;;1;1
13004518;01;1230.2998694;0;444.6;2;114444444444;2013;2015;44;4;0;10;1;1;0
13004543;01;808.72710817;0;1474.6666667;1.3124555471;444444444444;2013;2015;50;2;0;12;0;1;0
13004548;01;610.6264515;0;3718.5;3.8061702975;111111111144;2013;2015;47;0;0;2;;0;0
