"proba_ass";"ident";"noi";"wpela16"
0.032;"14007594";"1";562.63036873
0.911;"14007594";"3";562.63036873
0.007;"14007620";"1";690.07589076
0.027;"14007620";"2";690.07589076
0.052;"14007633";"2";371.2559928
0.13;"14007639";"1";560.76225236
0.652;"14007644";"1";641.18452768
0.481;"14007645";"1";426.01235088
0.028;"14007652";"1";1472.4625811
0.972;"14007678";"1";625.44002467
0.436;"14007687";"1";471.72303466
0.057;"14007687";"2";471.72303466
0.468;"14007688";"2";101.40943801
0.125;"14007695";"1";403.01951795
0.001;"14007710";"1";696.3964393
0.121;"14007712";"3";352.55977907
0.838;"14007719";"1";690.44187931
0.038;"14007731";"2";627.66511744
0.148;"14007748";"3";563.17910126
0.12;"14007755";"1";382.89386922
0.119;"14007755";"2";382.89386922
0.135;"14007756";"1";877.17163421
0.079;"14007775";"4";535.42589872
0.026;"14007793";"2";447.11187831
0.556;"14007804";"1";381.16468115
0.04;"14007805";"2";460.68303016
0.068;"14007819";"1";703.18647275
0.187;"14007819";"2";703.18647275
0.028;"14007820";"2";409.57675701
0.046;"14007821";"1";813.72640105
0.945;"14007830";"1";532.58775937
0.247;"14007844";"1";343.05788231
0.264;"14007846";"1";1901.2987555
0.096;"14007870";"1";924.89022655
0.247;"14007924";"1";1153.8761942
0.07;"14007927";"1";571.40711009
0.126;"14007942";"1";904.40009942
0.308;"14007949";"2";262.81826385
0.087;"14007953";"1";672.72615836
0.026;"14007978";"2";245.89132191
0.992;"14008006";"1";755.36596226
0.018;"14008013";"2";1142.1524702
0.076;"14008026";"2";271.97683097
0.029;"14008039";"1";285.82085794
0.03;"14008088";"1";962.33572506
0.211;"14008095";"3";368.47145568
0.102;"14008097";"1";696.89954345
0.14;"14008098";"1";318.46973394
0.182;"14008155";"2";842.27752597
0.015;"14008159";"1";750.90175626
0.105;"14008171";"2";469.35892323
0.087;"14008200";"2";785.15806483
0.016;"14008206";"1";650.42481956
0.054;"14008221";"1";504.19611325
0.032;"14008270";"2";147.34614914
0.204;"14008293";"2";535.68479614
0.032;"14008296";"2";304.64394176
0.235;"14008305";"1";345.8829405
0.027;"14008317";"2";512.31412317
0.032;"14008318";"1";1109.2295134
0.071;"14008334";"1";656.40511608
0.084;"14008340";"2";354.94542054
0.045;"14008341";"1";866.54605361
0.032;"14008341";"2";866.54605361
0.125;"14008348";"1";851.5458946
0.016;"14008351";"3";175.91367214
0.508;"14008356";"1";227.75824713
0.062;"14008378";"2";444.64121205
0.119;"14008388";"1";568.43182689
0.152;"14008398";"2";607.53522067
0.031;"14008419";"1";924.71223283
0.007;"14008419";"2";924.71223283
0.202;"14008451";"1";302.44141102
0.046;"14008461";"1";428.26382875
0.013;"14008492";"1";999.64407103
0.036;"14008506";"2";502.67929539
0.012;"14008536";"1";469.39032911
0.036;"14008536";"2";469.39032911
0.03;"14008551";"1";401.31137854
0.079;"14008561";"1";420.17152034
0.052;"14008565";"3";410.15742246
0.059;"14008587";"1";419.24608632
0.388;"14008618";"1";305.52880659
0.043;"14008635";"1";602.81537755
0.028;"14008635";"2";602.81537755
0.234;"14008650";"2";1700.484049
0.181;"14008653";"2";340.99189101
0.242;"14008659";"1";644.1958744
0.422;"14008680";"1";834.91609598
0.088;"14008699";"1";510.13476668
0.32;"14008709";"2";369.56330783
0.269;"14008717";"1";507.75191651
0.108;"14008721";"2";515.37508655
0.126;"14008721";"3";515.37508655
0.028;"14008745";"1";332.08858883
